,price,proc_cores,proc_speed,mem_cap,storage_cap,ssd,integrated,nvidia,ssdcap,corespeed**2,ddr4,ssdddr4,nvidia_ssd
221,355,4.0,3.2,16.0,1024.0,1,1,0,1024.0,163.84000000000003,0,0,0
222,328,4.0,3.2,16.0,360.0,1,1,0,360.0,163.84000000000003,0,0,0
223,245,2.0,3.4,12.0,360.0,1,1,0,360.0,46.24,0,0,0
224,409,4.0,3.2,8.0,512.0,1,1,0,512.0,163.84000000000003,0,0,0
225,247,2.0,3.4,8.0,360.0,1,1,0,360.0,46.24,0,0,0
226,300,6.0,2.8,8.0,120.0,1,1,0,120.0,282.2399999999999,0,0,0
227,239,2.0,3.3,16.0,3072.0,0,1,0,0.0,43.56,0,0,0
228,304,2.0,3.4,12.0,3072.0,1,1,0,3072.0,46.24,0,0,0
229,249,4.0,3.1,12.0,1024.0,0,1,0,0.0,153.76000000000005,0,0,0
230,275,4.0,2.5,8.0,120.0,1,1,0,120.0,100.0,0,0,0
231,334,2.0,3.3,8.0,2048.0,0,1,0,0.0,43.56,0,0,0
232,219,2.0,3.1,8.0,2048.0,0,1,0,0.0,38.44000000000001,0,0,0
233,240,2.0,3.4,8.0,240.0,1,1,0,240.0,46.24,0,0,0
234,421,4.0,3.2,16.0,3072.0,1,1,0,3072.0,163.84000000000003,0,0,0
235,366,4.0,3.2,16.0,360.0,1,1,0,360.0,163.84000000000003,0,0,0
236,269,4.0,3.1,8.0,360.0,1,1,0,360.0,153.76000000000005,0,0,0
237,417,4.0,3.1,8.0,1024.0,0,1,0,0.0,153.76000000000005,0,0,0
238,239,4.0,3.2,8.0,128.0,1,1,0,128.0,163.84000000000003,0,0,0
239,169,4.0,3.2,8.0,500.0,0,1,0,0.0,163.84000000000003,0,0,0
240,164,4.0,3.2,6.0,250.0,0,1,0,0.0,163.84000000000003,0,0,0
241,147,4.0,3.2,4.0,250.0,0,1,0,0.0,163.84000000000003,0,0,0
242,749,4.0,2.8,8.0,1024.0,0,1,0,0.0,125.43999999999998,1,0,0
243,754,4.0,2.8,8.0,1024.0,0,1,0,0.0,125.43999999999998,1,0,0
244,979,6.0,2.8,16.0,1024.0,1,0,1,1024.0,282.2399999999999,0,0,1
245,149,4.0,3.1,8.0,500.0,0,1,0,0.0,153.76000000000005,0,0,0
246,144,4.0,3.2,8.0,500.0,0,1,0,0.0,163.84000000000003,0,0,0
247,759,4.0,2.2,8.0,256.0,1,0,1,256.0,77.44000000000003,0,0,1
248,119,2.0,3.4,4.0,250.0,0,1,0,0.0,46.24,0,0,0
249,104,4.0,3.2,4.0,250.0,0,1,0,0.0,163.84000000000003,0,0,0
250,219,4.0,3.2,8.0,500.0,0,1,0,0.0,163.84000000000003,0,0,0
251,720,4.0,2.8,8.0,1024.0,0,0,1,0.0,125.43999999999998,1,0,0
252,962,6.0,3.6,8.0,1024.0,0,0,0,0.0,466.56000000000006,1,0,0
253,240,4.0,3.1,4.0,1024.0,0,0,0,0.0,153.76000000000005,0,0,0
254,524,4.0,3.1,8.0,1024.0,0,0,0,0.0,153.76000000000005,1,0,0
255,351,2.0,3.1,4.0,1024.0,0,1,0,0.0,38.44000000000001,1,0,0
256,178,2.0,3.1,2.0,1024.0,0,1,0,0.0,38.44000000000001,0,0,0
257,275,2.0,3.1,4.0,1024.0,0,0,0,0.0,38.44000000000001,0,0,0
258,319,2.0,3.1,8.0,1024.0,0,1,0,0.0,38.44000000000001,0,0,0
259,159,4.0,3.2,4.0,500.0,0,1,0,0.0,163.84000000000003,0,0,0
260,99,2.0,3.3,4.0,250.0,0,1,0,0.0,43.56,0,0,0
261,674,4.0,2.7,4.0,500.0,0,1,0,0.0,116.64,1,0,0
262,489,4.0,3.0,8.0,1024.0,0,1,0,0.0,144.0,1,0,0
263,499,4.0,3.0,8.0,2048.0,1,1,0,2048.0,144.0,1,1,0
264,122,1.0,2.6,4.0,250.0,0,1,0,0.0,6.760000000000002,0,0,0
265,93,1.0,2.6,4.0,320.0,0,1,0,0.0,6.760000000000002,0,0,0
266,259,4.0,3.2,8.0,500.0,0,1,0,0.0,163.84000000000003,0,0,0
267,209,4.0,3.2,4.0,500.0,0,1,0,0.0,163.84000000000003,0,0,0
268,405,4.0,3.0,8.0,1024.0,0,1,0,0.0,144.0,0,0,0
269,92,2.0,3.0,4.0,160.0,0,1,0,0.0,36.0,0,0,0
270,154,4.0,3.2,4.0,250.0,0,1,0,0.0,163.84000000000003,0,0,0
271,118,4.0,3.2,4.0,250.0,0,1,0,0.0,163.84000000000003,0,0,0
272,123,4.0,3.1,4.0,500.0,0,1,0,0.0,153.76000000000005,0,0,0
273,124,4.0,3.1,4.0,250.0,0,1,0,0.0,153.76000000000005,0,0,0
274,129,2.0,3.1,4.0,250.0,0,1,0,0.0,38.44000000000001,0,0,0
275,395,6.0,3.6,8.0,500.0,0,1,0,0.0,466.56000000000006,0,0,0
276,154,4.0,2.5,4.0,250.0,0,1,0,0.0,100.0,0,0,0
277,229,4.0,3.2,4.0,500.0,0,1,0,0.0,163.84000000000003,0,0,0
