,price,proc_cores,proc_speed,mem_type,mem_cap,num_USB,storage_type,storage_cap,graphics,form,brand
177,396,4.0,3.1,ddr3,16.0,4.0,hdd,3072.0,INTEGRATED,SMALL,HP
178,311,4.0,3.1,ddr3,8.0,4.0,hdd,3072.0,INTEGRATED,TOWER,DELL
179,334,4.0,3.1,ddr3,4.0,4.0,hdd,250.0,INTEGRATED,TOWER,DELL
180,438,4.0,3.1,ddr3,16.0,4.0,ssd,500.0,INTEGRATED,TOWER,DELL
181,384,4.0,3.1,ddr3,12.0,4.0,ssd,2048.0,INTEGRATED,TOWER,DELL
182,373,4.0,3.1,ddr3,4.0,4.0,hdd,2048.0,INTEGRATED,SMALL,HP
183,304,4.0,3.1,ddr3,8.0,4.0,ssd,240.0,INTEGRATED,SMALL,HP
184,396,4.0,3.1,ddr3,8.0,4.0,hdd,2048.0,INTEGRATED,SMALL,HP
185,301,4.0,3.1,ddr3,8.0,4.0,hdd,1024.0,INTEGRATED,TOWER,DELL
186,397,4.0,3.1,ddr3,8.0,4.0,ssd,500.0,INTEGRATED,TOWER,DELL
187,334,4.0,3.1,ddr3,4.0,4.0,hdd,250.0,INTEGRATED,SMALL,HP
188,334,4.0,3.1,ddr3,12.0,4.0,ssd,360.0,INTEGRATED,SMALL,HP
189,397,4.0,3.1,ddr3,8.0,4.0,hdd,2048.0,INTEGRATED,TOWER,DELL
190,368,4.0,3.1,ddr3,4.0,4.0,hdd,1024.0,INTEGRATED,SMALL,HP
191,391,4.0,3.1,ddr3,8.0,4.0,hdd,1024.0,INTEGRATED,SMALL,HP
192,385,4.0,3.1,ddr3,8.0,4.0,ssd,500.0,INTEGRATED,SMALL,HP
193,316,4.0,3.1,ddr3,12.0,4.0,ssd,360.0,INTEGRATED,TOWER,DELL
194,304,4.0,3.1,ddr3,8.0,4.0,hdd,3072.0,INTEGRATED,SMALL,HP
195,284,4.0,3.1,ddr3,8.0,4.0,hdd,500.0,INTEGRATED,SMALL,DELL
