,Unnamed: 0,price,link,Brand,Form Factor,Processor,Processor Main Features,Memory,Storage,Graphics,Operating System,CPU Type,CPU Speed,CPU Main Features,GPU/VGA Type,Video Memory,Memory Capacity,HDD,Screen Size,Graphics Interface,SSD,Optical Drive Spec,Front USB,Video Ports,Rear USB,Memory Slots (Available/Total),proc_brand,proc_cores,proc_speed,mem_type,mem_cap,num_USB,storage_type,storage_cap
18,18,530,https://www.newegg.com/Product/Product.aspx?Item=N82E16883288617&ignorebbr=1,,Slim/Small form factor,Intel Core i5-6500 4 Core Processor,,,,Wired Mouse Included,Windows 10,,3.2 GHz,,Intel HD Graphics 530,,8 GB DDR3,,No Screen,,,SuperMulti-DVD Burner,2,,0,,Intel,4.0,,ddr3,8.0,2.0,,
19,19,439,https://www.newegg.com/Product/Product.aspx?Item=N82E16883165595&ignorebbr=1,,Mini Tower,Intel Core i3-8100 4 Core Processor,,,,Wired Mouse Included,Windows 10,,3.6 GHz,,NVIDIA GeForce GT 1030,,8 GB DDR4,,No Screen,,,SuperMulti-DVD Burner,0,,0,,Intel,4.0,,ddr4,8.0,8.0,,
20,20,549,https://www.newegg.com/Product/Product.aspx?Item=N82E16883165556&ignorebbr=1,,Slim/Small form factor,Intel Core i5-8500 6 Core Processor,,,,Wired Mouse Included,Windows 10,,3 GHz,,Intel HD Graphics,,8 GB DDR4,,No Screen,,,Not Included,0,,0,,Intel,6.0,,ddr4,8.0,8.0,,
21,21,752,https://www.newegg.com/Product/Product.aspx?Item=N82E16883165567&ignorebbr=1,,Slim/Small form factor,Intel Core i7-8700 6 Core Processor,,,,Wired Mouse Included,Windows 10,,3.2 GHz,,Intel HD Graphics,,8 GB DDR4,,No Screen,,,SuperMulti-DVD Burner,3,,0,,Intel,6.0,,ddr4,8.0,3.0,,
22,22,630,https://www.newegg.com/Product/Product.aspx?Item=N82E16883165555&ignorebbr=1,,Micro Tower,Intel Core i5-7600T 4 Core Processor,,,,Wired Mouse Included,Windows 10,,2.8 GHz,,Intel HD Graphics,,8 GB DDR4,,No Screen,,,Not Included,0,,0,,Intel,4.0,,ddr4,8.0,8.0,,
23,23,255,https://www.newegg.com/Product/Product.aspx?Item=N82E16883288619&ignorebbr=1,,All-in-One,AMD E2-7110 4 Core Processor,,,,Integrated Graphics,Windows 10,,1.8 GHz,,AMD Integrated,,4 GB DDR3,,"19.5""",,,SuperMulti-DVD Burner,0,,0,,AMD,4.0,,ddr3,,8.0,,
24,24,361,https://www.newegg.com/Product/Product.aspx?Item=N82E16883288614&ignorebbr=1,,Mini Tower,Intel Core i3-6100 2 Core Processor,,,,Wired Mouse Included,Windows 10,,3.7 GHz,,Intel HD 630,,4 GB DDR4,,No Screen,,,SuperMulti-DVD Burner,0,,0,,Intel,2.0,,ddr4,4.0,8.0,,
25,25,101,https://www.newegg.com/Product/Product.aspx?Item=N82E16883165446R&ignorebbr=1,DELL,Slim/Small form factor,Intel Core i3-4160 3.60 GHz,64 bit Dual Core Processor,4 GB,500 GB,,Windows 8,Intel Core i3 4th Gen,4160 (3.60 GHz),64 bit Dual Core Processor,,,4 GB DDR3,500 GB,,,,,0,,0,,Intel,2.0,3.6,ddr3,4.0,8.0,,500.0
26,26,105,https://www.newegg.com/Product/Product.aspx?Item=N82E16883288302R&ignorebbr=1,HP,Slim/Small form factor,Intel Core i5-2400 3.10 GHz,64 bit Quad-Core Processor,4 GB,500 GB,,Windows 7,Intel Core i5 2nd Gen,2400 (3.10 GHz),64 bit Quad-Core Processor,,,4 GB DDR3,500 GB,,,,,0,,0,,Intel,4.0,3.1,ddr3,4.0,8.0,,500.0
27,27,384,https://www.newegg.com/Product/Product.aspx?Item=1VK-0003-05KY9&ignorebbr=1,,,,,,,,,,,,,,,,"19.5""",,,,0,,0,,,,,,,8.0,,
28,28,"1,354",https://www.newegg.com/Product/Product.aspx?Item=1VK-0003-05KW1&ignorebbr=1,Lenovo,,,,,,,,Intel Xeon,3.5 GHz,,,,16 GB DDR4,,No Screen,,512 GB,,0,,0,,,,,ddr4,16.0,8.0,ssd,
